name,category
An Offer You Can't Refuse,Counterspell|Counterspell noncreature|Mob name|Single target instant/sorcery
"Anax, Hardened in the Forge",Cda power|Characteristic defining ability|Cycle|Cycle thb demigod|Death trigger|Leaves battlefield trigger|Power matters|Repeatable creature tokens|Repeatable token generator|Self replacement effect|Synergy red|Triggered ability
Ancestors' Aid,Combat trick|Single target instant/sorcery
Ancestral Anger,Cantrip|Card advantage|Cards in graveyard matter|Draw|Gives trample|Hand neutral|Pure draw|Scales with multiple|Single target instant/sorcery
Ancient Brass Dragon,Cycle|Cycle clb ancient dragon|Evasion|Multiple targets|Reanimate|Reanimate creature|Reanimate from any|Reanimate from opponent|Recursion|Recursion creature|Roll d20|Theft|Triggered ability
Ancient Gold Dragon,Cycle|Cycle clb ancient dragon|Evasion|Repeatable creature tokens|Repeatable token generator|Roll d20|Triggered ability
Ancient Runes,Burn|Burn player|Burn player each|Group slug|Hate|Hate artifact|Tmp storyline in cards|Triggered ability
Ancient Silver Dragon,Burst draw|Card advantage|Curiosity|Curiosity like|Cycle|Cycle clb ancient dragon|Draw|Emblem lite|Evasion|Hand positive|Hand size increase|Indefinite effect|Pure draw|Repeatable draw|Roll d20|Triggered ability
Ancient Tomb,Life payment|Mana ability with extra effect|Ramp
Ancient Ziggurat,
And They Shall Know No Fear,Combat trick|Gives indestructible|Power boost to all|Protects creature|Typal choose|Typal creature
Angel of the Ruins,Disenchant/naturalize|Evasion|Multi removal|Multiple targets|Removal|Removal artifact|Removal enchantment|Removal exile|Spot removal|Triggered ability|Tutor|Tutor land|Tutor land plains|Tutor to|Tutor to hand
Angel's Grace,Cycle|Cycle tsp r split second|Damage prevention|Damage prevention you|Hate|Hate counterspell|Platinum angel effect|Prevents win/loss|Pseudo fog|Worship
Angelic Purge,Removal|Removal artifact|Removal creature|Removal enchantment|Removal exile|Sacrifice outlet|Sacrifice outlet permanent|Single target instant/sorcery|Spot removal
Anger,Cycle|Cycle jud incarnation|Gives haste|Static effect in graveyard|Synergy mountain
Anger of the Gods,Burn|Burn creature|Removal|Removal burn|Removal creature|Sweeper
Angrath's Marauders,Damage multiplier|Namesake spell
Anguished Unmaking,Cycle|Cycle soi r two color|Life payment|Removal|Removal artifact|Removal aura|Removal battle|Removal creature|Removal enchantment|Removal equipment|Removal exile|Removal nonland|Removal planeswalker|Removal spacecraft|Removal vehicle|Single target instant/sorcery|Spot removal
Animate Dead,Delayed triggered ability|Enchant change|Reanimate|Reanimate creature|Reanimate from any|Reanimate from opponent|Recursion|Recursion creature|Theft|Triggered ability
Anje's Ravager,Attack trigger|Burst draw|Card advantage|Castable from exile|Castable from nonhand|Cycle|Cycle c19 signature spell|Delayed triggered ability|Discard hand|Draw|Exile self|Miniwheel|Namesake spell|Synergy attacker self|Triggered ability|Unexile|Wheel
"Anje, Maid of Dishonor",Card advantage|Cycle|Cycle vow r two color legend|Discard outlet|Drain life|Draw|Group slug|Inverted effects|Lifegain|Opponent loses life|Repeatable artifact tokens|Repeatable blood|Repeatable noncreature tokens|Repeatable token generator|Sacrifice outlet|Sacrifice outlet creature|Synergy blood|Triggered ability|Typal creature|Typal vampire
Ankh of Mishra,Burn|Burn player|Hate|Hate ramp|Landfall|Landfall other|Lands matter|Namesake spell|Triggered ability
Anointed Procession,Synergy token|Token doubler|Token increaser
"Anowon, the Ruin Sage",Abyss|Hate|Hate typal|Hate typal non vampire|Mutual sacrifice|Removal|Removal creature|Removal sacrifice|Repeatable removal|Sacrifice outlet|Sacrifice outlet creature|Spot removal|Triggered ability|Typal creature|Typal vampire
Antagonize,Combat trick|Single target instant/sorcery
"Anti-Venom, Horrifying Healer",Damage prevention self|Reanimate|Reanimate creature|Recursion|Recursion creature|Triggered ability|Vigor effect
Anvil of Bogardan,Card advantage|Discard|Discard outlet|Draw|Group hug|Hand neutral|Hand size increase|Loot|Triggered ability
Apex of Power,Card advantage|Cycle|Cycle m19 bolas reign|Gives castable from exile|Gives castable from nonhand|Impulsive draw|Ramp|Ritual
Arc Lightning,Burn|Burn any|Burn battle|Burn creature|Burn planeswalker|Burn player|Multi removal|Multiple targets|Removal|Removal burn|Removal creature|Removal planeswalker|Single target instant/sorcery
Arc Trail,Burn|Burn any|Burn battle|Burn creature|Burn planeswalker|Burn player|Multi removal|Multiple targets|Removal|Removal burn|Removal creature|Removal planeswalker
Arcane Bombardment,Cast trigger|Cast trigger you|Free cast another|Gives castable from exile|Gives castable from nonhand|Recursion|Synergy instant|Synergy sorcery|Triggered ability
Arcane Denial,Card advantage|Counterspell|Counterspell with set mechanic|Delayed triggered ability|Draw|Hand neutral|Interrupt|Pure draw|Single target instant/sorcery|Triggered ability
Arcane Encyclopedia,Card advantage|Draw|Hand positive|Pure draw|Repeatable draw
Arcane Lighthouse,
Arcane Sanctum,Cycle|Cycle ala shardland|Cycle land|Cycle triland|Cycle triple tapland|Shardland|Triland
Arcane Signet,Commander identity matters|Commander matters|Mana producer|Mana rock|Ramp|Synergy commander
Arcane Teachings,Burn|Burn any|Burn battle|Burn creature|Burn planeswalker|Burn player|Pinger|Removal|Removal burn|Removal creature|Removal planeswalker|Repeatable crime|Repeatable removal
Arcbond,Burn|Burn creature|Burn player|Burn player each|Delayed triggered ability|Group slug|Removal|Removal burn|Removal creature|Single target instant/sorcery|Sweeper|Triggered ability
Archenemy's Charm,Card advantage|Combat trick|Cycle|Cycle arch charm|Gives lifelink|Hand positive|Lifegain|Multiple targets|Recursion|Recursion creature|Recursion planeswalker|Regrowth creature|Regrowth planeswalker|Removal|Removal creature|Removal exile|Removal planeswalker|Single target instant/sorcery|Spot removal
Archetype of Aggression,Cycle|Cycle bng archetype|Gives trample|Inverted effects|Removes trample
Archfiend of Depravity,Evasion|Removal|Removal creature|Removal sacrifice|Repeatable removal|Sweeper|Sweeper one sided|Triggered ability
Archfiend of Ifnir,Card advantage|Discard matters|Draw|Evasion|Hand neutral|Pure draw|Removal|Removal creature|Removal toughness|Sweeper|Sweeper one sided|Synergy cycling|Triggered ability
Archon of Cruelty,Attack trigger|Cantrip|Card advantage|Discard|Drain life|Draw|Evasion|Hand positive|Inverted effects|Lifegain|Opponent loses life|Pure draw|Removal|Removal creature|Removal planeswalker|Removal sacrifice|Repeatable crime|Repeatable draw|Repeatable removal|Spot removal|Synergy attacker self|Triggered ability
Archpriest of Shadows,Reanimate|Reanimate creature|Recursion|Recursion creature|Synergy battle|Triggered ability
Archway Commons,Rupture spire|Triggered ability
Arena of Glory,Buff mana|Cycle|Cycle land|Cycle mh3 r mono land|Cycle mono land|Gives haste|Synergy mountain
Argent Dais,Attack trigger|Card advantage|Counter fuel aesthetic|Counter fuel oil|Counters matter|Draw|Hate|Hate attacker|Pure draw|Removal|Removal artifact|Removal aura|Removal battle|Removal creature|Removal enchantment|Removal equipment|Removal exile|Removal nonland|Removal planeswalker|Removal spacecraft|Removal vehicle|Repeatable crime|Repeatable draw|Repeatable removal|Spot removal|Synergy attacker|Synergy attacker any|Triggered ability
Aria of Flame,Burn|Burn planeswalker|Burn player|Cast trigger|Cast trigger you|Counters matter|Opponent lifegain|Removal|Removal burn|Removal planeswalker|Repeatable removal|Storm like|Synergy instant|Synergy sorcery|Triggered ability
Arid Archway,Bounce|Bounceland|Library manipulation|Mill|Mill self|Peek|Peek library|Rescue land|Surveil|Synergy desert|Top deck manipulation|Triggered ability
Arid Mesa,Cycle|Cycle land|Cycle nonmana land|Cycle zen fetchland|Fetchland|Life payment|Manaless land|Sacrifice self|Tutor|Tutor land|Tutor land mountain|Tutor land plains|Tutor land to battlefield|Tutor to|Tutor to battlefield
Armillary Sphere,Egg|Sacrifice self|Tutor|Tutor land|Tutor land basic|Tutor to|Tutor to hand
Artist's Talent,Card advantage|Cast trigger|Cast trigger you|Cost reducer|Cost reducer noncreature|Cycle|Cycle blb r talent|Damage increaser|Discard outlet|Draw|Hand neutral|Synergy burn|Synergy noncreature|Triggered ability
Ash Barrens,Tutor|Tutor land|Tutor land basic|Tutor to|Tutor to hand
Ashen Rider,Death trigger|Death trigger self|Evasion|Leaves battlefield trigger|Life and death trigger self|Removal|Removal artifact|Removal aura|Removal battle|Removal creature|Removal enchantment|Removal equipment|Removal exile|Removal land|Removal permanent|Removal planeswalker|Removal spacecraft|Removal vehicle|Repeatable crime|Repeatable removal|Spot removal|Triggered ability
Ashling the Pilgrim,Burn|Burn creature|Burn player|Burn player each|Counter fuel pp|Counters matter|Cycle|Cycle lrw legend|Group slug|Removal|Removal burn|Removal creature|Repeatable removal|Sweeper
"Ashling, Flame Dancer",Burn|Burn creature|Burn player|Card advantage|Cast trigger|Cast trigger you|Discard outlet|Draw|Group slug|Hand neutral|Magecraft|Mana producer|Mana storage|Non mana ability mana|Ramp|Removal|Removal burn|Removal creature|Repeatable removal|Sweeper|Sweeper one sided|Synergy copy|Synergy instant|Synergy sorcery|Triggered ability
Ashnod's Altar,Free sacrifice outlet|Mana producer|Mana rock|Namesake spell|Ramp|Sacrifice outlet|Sacrifice outlet creature
Astarion's Thirst,Aikido|Combat trick|Cycle|Cycle clb legend spell|Hate|Hate high pt|Namesake spell|Power matters|Removal|Removal creature|Removal exile|Single target instant/sorcery|Spot removal|Synergy commander
"Astarion, the Decadent",Cycle|Cycle clb r two color legend|Damage multiplier|Dnd character|Life loss matters|Lifegain|Lifegain matters|Opponent loses life|Repeatable crime|Triggered ability
Astral Dragon,Copy|Copy noncreature|Evasion|Gives evasion|Gives flying|Multiple bodies|Triggered ability
Asylum Visitor,Card advantage|Castable from exile|Castable from nonhand|Delayed triggered ability|Draw|Exile self|Hand positive|Hand size hate|Hand size matters|Hate|Hellbent|Life for cards|Life payment|Pure draw|Repeatable draw|Triggered ability|Unexile
"Athreos, God of Passage",Card advantage|Cycle|Cycle block ths minor god|Cycle jou minor god|Death trigger|Indestructible god|Leaves battlefield trigger|Opponent loses life|Punisher|Recursion|Recursion creature|Regrowth creature|Repeatable crime|Synergy black|Synergy white|Triggered ability
Atraxa's Skitterfang,Counter fuel aesthetic|Counter fuel oil|Counters matter|Gives evasion|Gives flying|Gives lifelink|Lifegain|Namesake spell|Triggered ability
Austere Command,Command|Cycle|Cycle lrw command|Mana value matters|Removal|Removal artifact|Removal creature|Removal destroy|Removal enchantment|Sweeper|Sweeper one sided
Authority of the Consuls,Creaturefall|Kismet effect|Lifegain|Soul warden ability|Tapper|Tapper creature|Thingfall|Triggered ability
Auton Soldier,Attack trigger|Clone|Copy|Copy creature|Copy legendary|Copy self|Delayed triggered ability|Gains myriad|Multiplayer|Synergy attacker self|Triggered ability
Avacyn's Judgment,Burn|Burn any|Burn battle|Burn creature|Burn planeswalker|Burn player|Castable from exile|Castable from nonhand|Cycle|Cycle soi x madness sorcery|Delayed triggered ability|Exile self|Multi removal|Multiple targets|Namesake spell|Removal|Removal burn|Removal creature|Removal planeswalker|Self replacement effect|Single target instant/sorcery|Triggered ability|Unexile
"Avacyn, Angel of Hope",Cycle|Cycle avr legend angel|Cycle cmm m mono legend|Cycle innistrad legend angel|Evasion|Gives indestructible|Protects artifact|Protects creature|Protects enchantment|Protects land|Protects permanent|Protects planeswalker
Avalanche of Sector 7,Burn|Burn player|Cda power|Characteristic defining ability|Evasion|Hate|Hate activation|Hate artifact|Triggered ability
Avaricious Dragon,Card advantage|Discard outlet|Draw|Evasion|Grafted skullcap|Pure draw|Repeatable draw|Triggered ability
Aven Mindcensor,Evasion|Hate|Hate tutor|Hatebird|Tutor interaction
Azor's Gateway,Card advantage|Draw|Hand neutral|Lifegain|Lifegain matters|Mana value matters|Namesake spell|Pure draw|Ramp
Azorius Signet,Cycle|Cycle rav signet|Mana filter|Mana producer|Mana rock|Ramp
Backdraft Hellkite,Attack trigger|Evasion|Gives castable from graveyard|Gives castable from nonhand|Gives flashback|Recursion|Recursion instant|Recursion sorcery|Synergy attacker self|Synergy instant|Synergy sorcery|Triggered ability
Badlands,Cycle|Cycle abu dual land|Cycle dual land|Cycle land|Dual land|Nonbasic basic land type
Balduvian Rage,Card advantage|Combat trick|Delayed triggered ability|Draw|Hand neutral|Pure draw|Single target instant/sorcery|Synergy attacker|Triggered ability
Baleful Force,Card advantage|Cycle|Cycle force elemental|Draw|Hand positive|Life for cards|Life payment|Pure draw|Repeatable draw|Triggered ability
Ball Lightning,Triggered ability
Balustrade Spy,Evasion|Grind|Mill|Mill any|Mill opponent|Mill self|Triggered ability
Banefire,Burn|Burn any|Burn battle|Burn creature|Burn planeswalker|Burn player|Hate|Hate counterspell|Removal|Removal burn|Removal creature|Removal planeswalker|Single target instant/sorcery|Unpreventable damage
Banner of Kinship,Anthem|Creature count matters|Power boost to all|Typal choose|Typal creature
Barad-dûr,Cycle|Cycle land|Cycle ltr legendary land|Cycle mono land|Mana sink|Morbid|Synergy legendary|Typal army|Typal creature
Barbarian Ring,Bombard self|Burn|Burn any|Burn battle|Burn creature|Burn planeswalker|Burn player|Cards in graveyard matter|Cycle|Cycle land|Cycle mono land|Cycle ody threshold painland|Life payment|Mana ability with extra effect|Removal|Removal burn|Removal creature|Removal planeswalker|Sacrifice self
Barbed Field,Burn|Burn any|Burn battle|Burn creature|Burn planeswalker|Burn player|Cycle|Cycle pcy field aura|Pinger|Removal|Removal burn|Removal creature|Removal planeswalker|Repeatable crime|Repeatable removal
Barbflare Gremlin,Burn|Burn player|Mana increaser|Ramp|Synergy tapped|Triggered ability
Baron Bertram Graywater,Card advantage|Cycle|Cycle otj draft signpost|Cycle otj u legend|Draft signpost|Draw|Hand positive|Plunder|Repeatable creature tokens|Repeatable draw|Repeatable token generator|Sacrifice outlet|Sacrifice outlet artifact|Sacrifice outlet creature|Synergy artifact|Synergy token|Thingfall|Tokenfall|Triggered ability
Barrensteppe Siege,Cycle|Cycle tdm siege|Gives pp counters to all|Morbid|Multi removal|Power boost to all|Removal|Removal creature|Removal sacrifice|Repeatable removal|Spot removal|Triggered ability
Bartolomé del Presidio,Cycle lci draft signpost|Draft signpost|Free sacrifice outlet|Sacrifice outlet|Sacrifice outlet artifact|Sacrifice outlet creature|Synergy artifact
Basilisk Collar,Gives lifelink|Lifegain
Bastion of Remembrance,Blood artist ability|Death trigger|Drain life|Group slug|Inverted effects|Leaves battlefield trigger|Lifegain|Opponent loses life|Triggered ability
Batterbone,Gives lifelink|Lifegain|Triggered ability
Battle Hymn,Creature count matters|Ramp|Ritual
Battle Plan,Cycle|Cycle mh2 basic landcycler|Triggered ability|Tutor|Tutor land|Tutor land basic|Tutor to|Tutor to hand
Battle Strain,Burn|Burn player|Hate|Hate blocker|Triggered ability
Battlefield Forge,Cycle|Cycle apc painland|Cycle dual land|Cycle land|Cycle painland|Dual land|Life payment|Mana ability with extra effect
Batwing Brume,Aikido|Cycle|Cycle eve hybrid modal|Cycle hybrid modal|Damage prevention|Fog|Hate|Hate attacker|Mana spent matters|Opponent loses life
Beamtown Beatstick,Combat ramp|Gives evasion|Ramp|Repeatable artifact tokens|Repeatable noncreature tokens|Repeatable token generator|Repeatable treasures|Synergy battle|Triggered ability
Bedevil,Removal|Removal artifact|Removal creature|Removal destroy|Removal planeswalker|Single target instant/sorcery|Spot removal
Belligerent Guest,Card advantage|Discard outlet|Draw|Repeatable artifact tokens|Repeatable blood|Repeatable noncreature tokens|Repeatable token generator|Triggered ability
"Bennie Bracks, Zoologist",Card advantage|Convoke|Discount self|Draw|Hand positive|Pure draw|Repeatable draw|Synergy color share|Synergy token|Synergy white|Tap fuel creature|Tap outlet|Triggered ability
Beseech the Mirror,Free cast another|Gives castable from exile|Gives castable from nonhand|Sacrifice outlet|Sacrifice outlet artifact|Sacrifice outlet enchantment|Sacrifice outlet token|Synergy artifact|Synergy token|Tutor|Tutor card|Tutor cast|Tutor to|Tutor to exile|Tutor to hand
Beseech the Queen,Cycle|Cycle shm twobrid spell|Hybrid mana|Lands matter|Tutor|Tutor card|Tutor mv|Tutor to|Tutor to hand
Big Score,Card advantage|Discard outlet|Draw|Hand neutral|Pillage effect|Ramp
"Birgi, God of Storytelling",Card advantage|Cast trigger|Cast trigger you|Cycle|Cycle khm r god|Discard outlet|Gives castable from exile|Gives castable from nonhand|Impulsive draw|Mana producer|Non mana ability mana|Ramp|Repeatable impulsive draw|Synergy boast|Triggered ability
Bishop of Binding,Aikido|Attack trigger|Banish|Hate|Hate high pt|Removal|Removal creature|Removal exile|Spot removal|Synergy attacker self|Triggered ability|Typal creature|Typal vampire
Bishop of Rebirth,Attack trigger|Mana value matters|Reanimate|Reanimate creature|Recursion|Recursion creature|Synergy attacker self|Triggered ability
Bishop of the Bloodstained,Opponent loses life|Triggered ability|Typal creature|Typal vampire
Bitter Feud,Damage multiplier|Multiplayer
Bitter Triumph,Discard outlet|Life payment|Removal|Removal creature|Removal destroy|Removal planeswalker|Single target instant/sorcery|Spot removal
Black Dragon Gate,Color choose land|Cycle|Cycle clb thriving gate
Black Market,Counters matter|Death trigger|Leaves battlefield trigger|Non mana ability mana|Ramp|Triggered ability
Black Market Connections,Card advantage|Deal with the devil|Draw|Hand positive|Life for cards|Life payment|Pure draw|Ramp|Repeatable artifact tokens|Repeatable creature tokens|Repeatable draw|Repeatable noncreature tokens|Repeatable token generator|Repeatable treasures|Triggered ability
Blackblade Reforged,Alternate equip cost|Lands matter|Maro sorcerer|Synergy legendary
Blackcleave Cliffs,Cycle|Cycle dual land|Cycle fastland|Cycle land|Cycle som fastland|Dual land
Blade of the Bloodchief,Death trigger|Leaves battlefield trigger|Self replacement effect|Triggered ability|Typal creature|Typal vampire
Blasphemous Act,Burn|Burn creature|Creature count matters|Discount self|Hate|Hate wide|Removal|Removal burn|Removal creature|Sweeper
Blasphemous Edict,Creature count matters|Hate|Hate wide|Multi removal|Removal|Removal creature|Removal sacrifice|Sweeper
Blast Zone,Counters matter|Mana sink|Mana value matters|Removal|Removal artifact|Removal aura|Removal battle|Removal creature|Removal destroy|Removal enchantment|Removal equipment|Removal nonland|Removal planeswalker|Removal spacecraft|Removal vehicle|Sacrifice self|Sweeper
Blaze,Burn|Burn any|Burn battle|Burn creature|Burn planeswalker|Burn player|Removal|Removal burn|Removal creature|Removal planeswalker|Single target instant/sorcery
Blazemire Verge,Cycle|Cycle dsk verge|Cycle dual land|Cycle land|Cycle verge|Dual land|Synergy mountain|Synergy swamp
Blazing Archon,Evasion|Pillowfort|Prevent attack
Blazing Crescendo,Card advantage|Combat trick|Gives castable from exile|Gives castable from nonhand|Impulsive draw|Single target instant/sorcery
Blazing Shoal,Combat trick|Cycle|Cycle bok shoal|Mana value matters|Manaless value|Single target instant/sorcery|Synergy red
Blazing Sunsteel,Burn|Burn any|Burn battle|Burn creature|Burn planeswalker|Burn player|Group slug|Multiplayer|Removal|Removal burn|Removal creature|Removal planeswalker|Repeatable removal|Triggered ability
Bleachbone Verge,Cycle|Cycle dft verge|Cycle dual land|Cycle land|Cycle verge|Dual land|Synergy plains|Synergy swamp
Bleed Dry,Removal|Removal creature|Removal exile|Removal toughness|Single target instant/sorcery|Spot removal
Bleeding Effect,Borrow ability|Cards in graveyard matter|Gives evasion|Gives flying|Gives hexproof|Gives indestructible|Gives lifelink|Gives trample|Keyword soup|Lifegain|Protects creature|Synergy deathtouch|Synergy double strike|Synergy first strike|Synergy flying|Synergy hexproof|Synergy indestructible|Synergy lifelink|Synergy menace|Synergy reach|Synergy trample|Synergy vigilance|Triggered ability
Blighted Steppe,Creature count matters|Cycle|Cycle bfz blighted land|Cycle colorless land|Cycle land|Lifegain|Sacrifice self
Blightstep Pathway,Cycle|Cycle dual land|Cycle khm pathway|Cycle land|Cycle pathway|Dual land
Blind Obedience,Cast trigger|Cast trigger you|Drain life|Hate|Hate artifact|Inverted effects|Kismet effect|Lifegain|Opponent loses life|Tapper|Tapper artifact|Tapper creature|Triggered ability
Blisterspit Gremlin,Burn|Burn player|Cast trigger|Cast trigger you|Group slug|Pinger|Synergy noncreature|Triggered ability
Blood Artist,Blood artist ability|Death trigger|Drain life|Inverted effects|Leaves battlefield trigger|Lifegain|Opponent loses life|Triggered ability
Blood Baron of Vizkopa,Cycle|Cycle dgm m two color|Cycle ima r two color|Evasion|Hate|Hate black|Hate color|Hate white|Life total matters self|Lifegain|Lifegain matters
Blood Burglar,Gains lifelink|Lifegain
Blood Crypt,Cycle|Cycle dual land|Cycle land|Cycle rav shockland|Dual land|Life payment|Nonbasic basic land type|Shockland
Blood Moon,Blood moon effect|Hate|Hate nonbasic land|Mass land denial
Blood Petal Celebrant,Card advantage|Death trigger|Death trigger self|Discard outlet|Draw|Leaves battlefield trigger|Synergy attacker self|Triggered ability
Blood Seeker,Creaturefall|Opponent loses life|Thingfall|Triggered ability
Blood Tribute,Drain life|Inverted effects|Life divider|Lifegain|Opponent loses life|Single target instant/sorcery|Tap fuel creature|Tap outlet|Typal creature|Typal vampire
Bloodchief Ascension,Counters matter|Cycle|Cycle zen ascension|Discard matters|Drain life|Inverted effects|Life loss matters|Lifegain|Opponent discard matters|Opponent loses life|Synergy mill|Triggered ability
Bloodcrazed Paladin,Morbid
Bloodcrazed Socialite,Attack trigger|Card advantage|Discard outlet|Draw|Evasion|Synergy attacker self|Synergy blood|Triggered ability
Bloodfell Caves,Cycle|Cycle dual land|Cycle ktk gainland|Cycle land|Dual land|Lifegain|Triggered ability
Bloodflow Connoisseur,Free sacrifice outlet|Sacrifice outlet|Sacrifice outlet creature
Bloodghast,Gains haste|Landfall|Lands matter|Manaless value|Reanimate|Reanimate self|Recursion|Recursion self|Thingfall|Trigger from graveyard|Triggered ability
Bloodletter of Aclazotz,Damage multiplier|Evasion|Life loss matters|Namesake spell
Bloodline Keeper,Anthem|Evasion|Power boost to all|Repeatable creature tokens|Repeatable token generator|Transform improvement|Typal creature|Typal vampire
Bloodline Necromancer,Lifegain|Reanimate|Reanimate creature|Recursion|Recursion creature|Triggered ability|Typal creature|Typal vampire|Typal wizard
Bloodline Pretender,Cda subtype|Changeling|Characteristic defining ability|Creaturefall|Thingfall|Triggered ability|Typal choose|Typal creature
Bloodlord of Vaasgoth,Cast trigger|Cast trigger you|Evasion|Triggered ability|Typal creature|Typal vampire
Bloodmad Vampire,Castable from exile|Castable from nonhand|Delayed triggered ability|Exile self|Slith ability|Triggered ability|Unexile
Bloodsoaked Insight,Cycle|Cycle dual land|Cycle land|Cycle mh3 draft signpost|Cycle mh3 mdfc dual land|Discount self|Draft signpost|Dual land|Gives castable from exile|Gives castable from nonhand|Hybrid mana|Life loss matters|Mill|Mill exile|Mill opponent|Single target instant/sorcery|Theft|Theft cast
Bloodstained Mire,Cycle|Cycle land|Cycle nonmana land|Cycle ons fetchland|Fetchland|Life payment|Manaless land|Sacrifice self|Tutor|Tutor land|Tutor land mountain|Tutor land swamp|Tutor land to battlefield|Tutor to|Tutor to battlefield
Bloodsworn Steward,Evasion|Gives haste|Synergy commander
Bloodthirsty Adversary,Copy|Copy instant|Copy sorcery|Cycle|Cycle mid adversary|Free cast another|Gives castable from exile|Gives castable from nonhand|Recursion|Triggered ability
Bloodthirsty Aerialist,Evasion|Lifegain matters|Pridemate|Triggered ability
Bloodthirsty Conqueror,Evasion|Life loss matters|Lifegain|Triggered ability
Bloodthorn Flail,Alternate equip cost|Discard outlet
Bloodthrone Vampire,Free sacrifice outlet|Sacrifice outlet|Sacrifice outlet creature|Shade pump
